Accounts,BS_Level,Botness,Entity,EntityID,Last_Seen,MediaLink,Trendiness,Tweets,Type
7,0.092,1.5,@wjuniormetal,3814,"Wed, 12 Feb 2020 03:48:04 GMT",,-11,7,user_mentions
32,0.092,0.7,@leoni_a_jato,126,"Wed, 12 Feb 2020 03:55:57 GMT",,1025,44,user_mentions
7,0.091,1.4,@tatikmd,3110,"Wed, 12 Feb 2020 03:54:59 GMT",,60,7,user_mentions
5,0.090,0.8,@dilmaresiste,1472,"Wed, 12 Feb 2020 03:50:42 GMT",,800,8,user_mentions
2,0.088,1.1,@edcar1811,2593,"Wed, 12 Feb 2020 03:34:39 GMT",,300,3,user_mentions
2,0.088,1.7,@adrianopassosbh,3050,"Wed, 12 Feb 2020 03:49:39 GMT",,200,2,user_mentions
3,0.087,0.9,@douglas12626875,6374,"Wed, 12 Feb 2020 03:50:23 GMT",,500,5,user_mentions
2,0.086,1.1,@sikerajr,4306,"Wed, 12 Feb 2020 03:37:46 GMT",,300,3,user_mentions
2,0.086,1.1,@bel_br17,4305,"Wed, 12 Feb 2020 03:37:46 GMT",,300,3,user_mentions
2,0.086,1.1,@df2marf,10732,"Wed, 12 Feb 2020 03:56:01 GMT",,300,3,user_mentions
4,0.085,0.9,@proaliancabr,3127,"Wed, 12 Feb 2020 03:43:51 GMT",,600,6,user_mentions
24,0.083,0.7,@lauraabcarvalho,888,"Wed, 12 Feb 2020 03:55:21 GMT",,3600,36,user_mentions
2,0.083,1.1,@felipesalto,5008,"Wed, 12 Feb 2020 03:51:21 GMT",,300,3,user_mentions
2,0.083,1.1,https://twitter.com/claudinarosa/status/1227425389137551360/photo/1,4694,"Wed, 12 Feb 2020 03:37:08 GMT",http://pbs.twimg.com/media/EQiw4LMW4AA8ava.jpg,300,3,media
2,0.083,1.1,@claudinarosa,4692,"Wed, 12 Feb 2020 03:37:08 GMT",http://pbs.twimg.com/media/EQiw4LMW4AA8ava.jpg,300,3,user_mentions
2,0.080,2.0,@jfmargarida,8649,"Wed, 12 Feb 2020 03:47:55 GMT",,-19,3,user_mentions
5,0.080,0.8,@altemir001,4420,"Wed, 12 Feb 2020 03:50:43 GMT",http://pbs.twimg.com/media/EQiKLQ5XkAAUCeL.jpg,700,7,user_mentions
1,0.078,4.0,https://twitter.com/mclima9/status/1227395718152904704/video/1,4339,"Wed, 12 Feb 2020 00:55:17 GMT",http://pbs.twimg.com/ext_tw_video_thumb/1227395669268336640/pu/img/w0UF975csrddFKNJ.jpg,100,1,media
9,0.078,1.0,@carlos_renatosa,168,"Wed, 12 Feb 2020 03:52:24 GMT",http://pbs.twimg.com/ext_tw_video_thumb/1227345227054288897/pu/img/HolGEx8dIyONdd0Q.jpg,100,9,user_mentions
1,0.078,3.9,@mariaclarabolso,7147,"Wed, 12 Feb 2020 02:12:30 GMT",,100,1,user_mentions
13,0.078,0.7,@oragnar2,1407,"Wed, 12 Feb 2020 03:51:36 GMT",http://pbs.twimg.com/media/EQiYVUnXkAYhCPX.jpg,1700,17,user_mentions
1,0.077,3.9,@atilabrasen,16315,"Wed, 12 Feb 2020 03:53:30 GMT",,100,1,user_mentions
1,0.077,3.2,@keliveronezi,9441,"Wed, 12 Feb 2020 02:10:05 GMT",,100,1,user_mentions
9,0.076,0.8,@jnascim,352,"Wed, 12 Feb 2020 03:55:33 GMT",,650,14,user_mentions
1,0.076,3.1,@luislcr1,6679,"Wed, 12 Feb 2020 03:42:49 GMT",,100,1,user_mentions
1,0.075,3.0,@zupykov,6200,"Wed, 12 Feb 2020 03:38:35 GMT",,100,1,user_mentions
1,0.075,3.0,@oporaodamamae,10023,"Wed, 12 Feb 2020 00:09:39 GMT",,100,1,user_mentions
13,0.075,1.1,@juliaduailibi,780,"Wed, 12 Feb 2020 03:55:27 GMT",,75,13,user_mentions
